brand,model,Engines,CC/Battery Capacity kwh,HorsePower,Top Speed km/h,Performance(0 - 100 )KM/H,Cars Prices,Seats,Torque,Range (Km),Type,Year ,Quantity
Tata Motors,Tiago EV,Permanent Magnet Synchronous,24.0,74,120,5.7,"$11,000",5,114 Nm,120.0,Sedan,2024,6
Tesla,Model S,Dual Electric Motors,100.0,670,250,3.1,"$88,490",5,967 Nm,500.0,Luxury,2025,3
Tesla,Model S Plaid,Tri Electric Motors,100.0,"1,020",322,2.1,"$108,490",5,"1,400 Nm",500.0,Luxury,2024,1
Tesla,Model 3,Single Electric Motor (RWD),60.0,283,225,5.8,"$40,240",5,420 Nm,300.0,Sedan,2025,2
Tesla,Model 3 Performance,Dual Electric Motors (AWD),82.0,450,261,3.1,"$53,240",5,660 Nm,410.0,Sedan,2024,5
Tesla,Model X,Dual Electric Motors (AWD),100.0,670,250,3.8,"$98,490",7,967 Nm,500.0,SUV,2025,2
Tesla,Model X Plaid,Tri Electric Motors,100.0,"1,020",262,2.6,"$113,490",6,"1,400 Nm",500.0,SUV,2024,8
Tesla,Model Y,Single Electric Motor (RWD),75.0,346,217,5.0,"$47,490",5,498 Nm,375.0,Crossover,2024,3
Tesla,Model Y Long Range,Dual Electric Motors (AWD),82.0,384,217,4.8,"$50,490",5,559 Nm,410.0,Crossover,2025,4
Tesla,Cybertruck,Tri Electric Motors,200.0,800,209,2.9,"$69,900",6,"1,355 Nm",1000.0,Truck,2025,10
Tesla,Roadster 2,Quad Electric Motors,200.0,"1,288",402,1.9,"$200,000",4,"10,000 Nm",1000.0,Sports Car,2025,3
Jeep,Wagoneer S (Electric),Dual Electric Motors,100.0,600,177,4.5,"$80,000",5,850 Nm,500.0,Luxury,2025,10
Cadillac,Lyriq EV,Single Electric Motor,100.0,340,190,5.7,"$58,590",5,440 Nm,500.0,Luxury,2025,7
Cadillac,Lyriq Launch Edition,Single Electric Motor,100.0,340,190,5.7,"$59,990",5,440 Nm,500.0,Luxury,2025,5
Cadillac,Lyriq EV Premium,Dual Electric Motors,100.0,500,210,4.5,"$64,990",5,620 Nm,500.0,Luxury,2025,4
Chevrolet,Bolt EV,Single Electric Motor,66.0,200,150,6.5,"$27,495",5,360 Nm,330.0,Hatchback,2023,6
Chevrolet,Bolt EUV,Single Electric Motor,66.0,200,150,7.0,"$28,795",5,360 Nm,330.0,Crossover,2023,9
Chevrolet,Bolt EV 2LT,Single Electric Motor,66.0,200,150,6.7,"$28,795",5,360 Nm,330.0,Hatchback,2023,7
Chevrolet,Bolt EV Premier,Single Electric Motor,66.0,200,150,6.5,"$31,700",5,360 Nm,330.0,Hatchback,2025,8
GMC,Hummer EV Pickup,Dual-Motor Electric,212.0,625,170,3.0,"$108,700",5,1000+ Nm,1060.0,Truck,2025,6
GMC,Hummer EV SUV,Dual-Motor Electric,212.0,625,170,3.5,"$105,600",5,1000+ Nm,1060.0,SUV,2024,10
GMC,Hummer EV SUV Edition 1,"Electric motors with up to 11,500 lb-ft torque",200.0,830,170,3.5,"$96,550",5,"15,590 Nm",1000.0,SUV,2025,1
GMC,Hummer EV Pickup Edition 1,"Electric motors with up to 11,500 lb-ft torque",200.0,"1,000",170,3.0,"$96,550",5,"15,590 Nm",1000.0,Truck,2024,5
GMC,Hummer EV SUV Extreme Off-Road,"Electric motors with up to 11,500 lb-ft torque",200.0,830,170,3.6,"$110,000",5,"15,590 Nm",1000.0,SUV,2025,3
GMC,Sierra EV Denali,Electric motors with advanced AWD,200.0,754,170,4.5,"$108,700",5,"1,064 Nm",1000.0,Truck,2024,7
GMC,Hummer EV Omega Edition,"Electric motors with up to 11,500 lb-ft torque",200.0,"1,000",170,3.0,"$112,700",5,"15,590 Nm",1000.0,Truck,2025,2
GMC,Hummer EV Adventure Series,"Electric motors with up to 11,500 lb-ft torque",200.0,830,170,3.6,"$105,000",5,"15,590 Nm",1000.0,Truck,2025,8
Kia,EV6 Wind,Electric Motor,77.4,225,190,5.2,"$50,000",5,350 Nm,387.0,Crossover,2025,0
Kia,EV6 First Edition,Electric Motor,77.4,320,230,5.0,"$58,000",5,450 Nm,387.0,Crossover,2025,8
Kia,EV6 Light,Electric Motor,77.4,225,190,5.2,"$46,000",5,350 Nm,387.0,Crossover,2024,3
Kia,EV6 GT Performance,Electric Motor,77.4,577,260,3.5,"$65,000",5,740 Nm,387.0,Crossover,2025,2
Kia,EV6 AWD GT-Line,Electric Motor,77.4,320,230,5.0,"$60,000",5,450 Nm,387.0,Crossover,2025,9
Peugeot,e-2008 GT,Electric Motor,50.0,136,200,8.5,"$40,000",5,260 Nm,250.0,SUV,2024,8
Kia,EV6 First Edition AWD,Electric Motor,77.4,320,230,5.0,"$62,000",5,450 Nm,387.0,Crossover,2025,3
Jaguar Land Rover,Jaguar I-PACE,Electric (Dual Motor),90.0,400,200,4.8,"$70,000",5,696 Nm,450.0,Luxury,2025,6
Jaguar Land Rover,Jaguar I-PACE Electric Performance,Electric (Dual Motor),90.0,400,200,4.5,"$85,000",5,696 Nm,450.0,Luxury,2025,6
Jaguar Land Rover,Jaguar I-PACE HSE,Electric (Dual Motor),90.0,400,200,4.5,"$90,000",5,696 Nm,450.0,Luxury,2025,5
Jaguar Land Rover,Jaguar I-PACE EV400 HSE,Electric (Dual Motor),90.0,400,200,4.5,"$85,000",5,696 Nm,450.0,Luxury,2024,6
Jaguar Land Rover,Jaguar I-PACE First Edition,Electric (Dual Motor),90.0,400,200,4.5,"$85,000",5,696 Nm,450.0,Luxury,2025,10
Peugeot,e-208,Electric Motor,50.0,136,150,8.1,"$35,000",5,260 Nm,250.0,Hatchback,2025,4
Peugeot,e-2008,Electric Motor,50.0,136,150,8.5,"$38,000",5,260 Nm,250.0,SUV,2024,4
Peugeot,Partner Electric,Electric Motor,50.0,136,130,9.0,"$40,000",5,260 Nm,250.0,Crossover,2025,6
Peugeot,Expert Electric,Electric Motor,50.0,136,130,9.5,"$45,000",5,260 Nm,250.0,Crossover,2025,9
Ford,Mustang Mach-E (Standard,Electric Motor,68.0,290,180,3.5,"$43,000",5,430 Nm (GT Model),340.0,SUV,2025,4
Ford,Mustang Mach-E (Long Range),Electric Motor,98.0,480,180,3.5,"$61,000",5,430 Nm (GT Model),490.0,SUV,2025,6
Ford,F-150 Lightning,Electric Motor,98.0,452,180,4.5,"80,000",5,1051 Nm,490.0,Truck,2025,0
Ford,Transit Electric (E-Transit),Electric Motor,89.0,266,140,9.0,"$52,000",15468468,430 Nm,445.0,Crossover,2024,8
Mitsubishi,i-MiEV (Electric),Electric Motor,16.0,66,130,15.0,"$26,000",4,196 Nm,80.0,Compact,2023,0
Mitsubishi,Minicab MiEV,Electric Motor,16.0,64,100,15.0,"$20,000",2,196 Nm,80.0,Compact,2023,9
Mazda,MX-30 Electric,Electric Motor,35.5,143,140,9.7,"$37,000",5,271 Nm,177.5,Crossover,2025,10
